fish_id,site_id,year,month,day,location,fish_num,species,length,height,Lep_cope,chalA,chalB,Lep_PAmale,Lep_PAfemale,Lep_male,Lep_nongravid,Lep_gravid,Caligus_cope,Caligus_mot,Caligus_gravid,unid_cope,chal_unid,unid_PA,unid_adult,chal_scar,pred_scar,mot_scar,hem,mateguarding,eroded_gill,blue_blotches,pinched_belly,scales,white_eye,Grazed_gill_plate,Lironca,comments,sum_all_lice,Prevalence,Motile Lep,Motile Caligus,chal,attached
1,1,2018,4,26,Buckle Bay,1,chum,44,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,0,2,3
2,1,2018,4,26,Buckle Bay,2,chum,46,7,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,2,1,0,0,2,2
3,1,2018,4,26,Buckle Bay,3,chum,49,6,,2,2,,,,,,,,,,,,,,,1,1,,,1,,,,,,,4,1,0,0,4,4
4,1,2018,4,26,Buckle Bay,4,chum,48,9,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,0,3,3
5,1,2018,4,26,Buckle Bay,5,chum,50,10,,1,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,2,1,0,0,2,2
6,1,2018,4,26,Buckle Bay,6,chum,53,8,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,1,0,0,1,2
7,1,2018,4,26,Buckle Bay,7,chum,50,8,,2,,,,,,,,,,,,,,1,,,,,,1,,,,,,,2,1,0,0,2,2
8,1,2018,4,26,Buckle Bay,8,chum,50,6,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0
9,1,2018,4,26,Buckle Bay,9,chum,47,7,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,1,0,0,2,2
10,1,2018,4,26,Buckle Bay,10,chum,42,6,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,GG,3,1,0,0,2,3
11,1,2018,4,26,Buckle Bay,11,chum,60,11,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,3,1,0,1,2,2
12,1,2018,4,26,Buckle Bay,12,chum,42,5,,2,6,,,,,,,,,,,,,4,,,,,,1,,,,,,GG,8,1,0,0,8,8
13,1,2018,4,26,Buckle Bay,13,chum,43,7,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,0,3,3
14,1,2018,4,26,Buckle Bay,14,chum,46,8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,1
15,1,2018,4,26,Buckle Bay,15,chum,52,9,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,2,2
16,1,2018,4,26,Buckle Bay,16,chum,49,8,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,1,0,1,0,1
17,1,2018,4,26,Buckle Bay,17,chum,49,7,,7,6,,,,,,,,,,,,,9,,,,,,1,,,,,,,13,1,0,0,13,13
18,1,2018,4,26,Buckle Bay,18,chum,50,8,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
19,1,2018,4,26,Buckle Bay,19,chum,42,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1
20,1,2018,4,26,Buckle Bay,20,chum,52,9,1,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,3,1,1,0,1,2
21,1,2018,4,26,Buckle Bay,21,chum,46,6,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,"FL, CF",1,1,0,0,1,1
22,1,2018,4,26,Buckle Bay,22,chum,66,10,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,2,1,1,0,1,1
23,1,2018,4,26,Buckle Bay,23,chum,51,8,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,0,0,1,1
24,1,2018,4,26,Buckle Bay,24,chum,48,7,2,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,4,1,0,0,2,4
25,1,2018,4,26,Buckle Bay,25,chum,47,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,2,2
26,1,2018,4,26,Buckle Bay,26,chum,47,7,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,0,0,0,1
27,1,2018,4,26,Buckle Bay,27,chum,46,9,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,1,2
28,1,2018,4,26,Buckle Bay,28,chum,48,8,2,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,Bird,3,1,0,0,1,3
