Year,Month,Facility Reference Number,Licence Holder,Site Common Name,Latitude,Longitude,Aquaculture Management Unit,Sample Type,Incident Date,Number of Pens Sampled,Average L. salmonis motiles per fish,Average L. salmonis females per fish,Average chalimus per fish,Average caligus per fish,Comments,Year Class
2011,January,466,Marine Harvest Canada,Arrow Pass,50.70973,-126.662,Broughton Archipelago,Routine monitoring,2011-01-27,3,0.25,0,0.2167,0.05,n/a,1
2011,January,1144,Mainstream Canada,Burdwood,50.7969,-126.49581,Broughton Archipelago,Routine monitoring,2011-01-01,3,1.3833,0.25,1.1,0.5,n/a,2
2011,January,1144,Mainstream Canada,Burdwood,50.7969,-126.49581,Broughton Archipelago,Pre-treatment,2011-01-15,3,2.7833,1.2167,1.8333,0.3667,In-feed treatment,2
2011,January,458,Mainstream Canada,Cypress Harbour,50.83772,-126.66313,Broughton Archipelago,Routine monitoring,2011-01-05,2,0.35,0.175,0.1,0,Sampling methodology does not meet requirements outlined in licence conditions (broodstock in spawning year),Brood
2011,January,1586,Marine Harvest Canada,Doctor Islets,50.65373,-126.28925,Broughton Archipelago,Follow-up,2011-01-20,3,0.0667,0,0.25,0.0167,n/a,1
2011,January,1825,Grieg Seafood BC,Noo-la,50.60799,-126.36301,Broughton Archipelago,Routine monitoring,2011-01-23,3,0.2667,0.1833,0.4,0,n/a,1
2011,January,141,Marine Harvest Canada,Port Elizabeth,50.67099,-126.47653,Broughton Archipelago,Routine monitoring,2011-01-23,3,0.4833,0.2,0.0833,0,n/a,2
2011,January,1145,Marine Harvest Canada,Potts Bay,50.6492,-126.6182,Broughton Archipelago,Threshold exceedance; Pre-treatment,2011-01-08,2,4.075,2.675,6.4,2.05,In-feed treatment; Sampling methodology does not meet requirements outlined in licence conditions (broodstock in spawning year),Brood
2011,January,1145,Marine Harvest Canada,Potts Bay,50.6492,-126.6182,Broughton Archipelago,Follow-up,2011-01-31,2,1.425,0.825,2.025,0,Sampling methodology does not meet requirements outlined in licence conditions (broodstock in spawning year),Brood
2011,January,1336,Mainstream Canada,Simmonds Point,50.87791,-126.90153,Broughton Archipelago,Routine monitoring,2011-01-18,3,0.8333,0.45,0.0333,0.05,n/a,1
2011,January,728,Mainstream Canada,Sir Edmund Bay,50.83096,-126.59684,Broughton Archipelago,Routine monitoring,n/a,0,n/a,n/a,n/a,n/a,Count(s) not required (harvesting),2
2011,January,465,Marine Harvest Canada,Swanson,50.61871,-126.70473,Broughton Archipelago,Routine monitoring,2011-01-04,3,0.6167,0.25,0,0,n/a,2
2011,January,465,Marine Harvest Canada,Swanson,50.61871,-126.70473,Broughton Archipelago,Routine monitoring,2011-01-18,3,0.2,0.0833,0.1167,0,n/a,2
2011,January,739,Marine Harvest Canada,Upper Retreat,50.72183,-126.5681,Broughton Archipelago,Routine monitoring,n/a,0,n/a,n/a,n/a,n/a,Count(s) not required (<4 pens),1
2011,January,820,Marine Harvest Canada,Wicklow Point,50.78659,-126.69153,Broughton Archipelago,Routine monitoring,2011-01-13,3,0.0333,0,0.6,0,n/a,1
2011,January,1702,Marine Harvest Canada,Goat Cove,52.78726,-128.4199,Central Coast,Routine monitoring,2011-01-04,3,0.7667,0.3167,0.0833,0,n/a,2
2011,January,1580,Marine Harvest Canada,Jackson Pass,52.53727,-128.40286,Central Coast,Routine monitoring,n/a,0,n/a,n/a,n/a,n/a,Count(s) not required (<4 pens),1
2011,January,1691,Marine Harvest Canada,Kid Bay,52.80108,-128.40431,Central Coast,Routine monitoring,2011-01-04,3,1.05,0.5,0.0333,0,n/a,2
2011,January,1896,Marine Harvest Canada,Lime Point,52.78538,-128.33133,Central Coast,Routine monitoring,2011-01-08,3,0.2167,0.0667,0,0,n/a,1
2011,January,884,Marine Harvest Canada,Lochalsh Bay,52.53399,-128.3602,Central Coast,Routine monitoring,2011-01-25,3,0.6167,0.15,0.8667,0.3,n/a,1
2011,January,1895,Marine Harvest Canada,Sheep Passage,52.79609,-128.31093,Central Coast,Routine monitoring,2011-01-20,3,0.0667,0.0333,0,0,n/a,2
2011,January,1148,Mainstream Canada,Binns Island,49.34182,-125.95328,Clayoquot Sound,Routine monitoring,2011-01-05,2,0.025,0,0.05,0,"Sampling methodology differs from requirements outlined in licence conditions, but meets or exceeds the requirement",2
2011,January,1148,Mainstream Canada,Binns Island,49.34182,-125.95328,Clayoquot Sound,Routine monitoring,2011-01-20,3,0,0,0,0,n/a,2
2011,January,753,Mainstream Canada,Cormorant,49.25719,-125.9244,Clayoquot Sound,Routine monitoring,n/a,0,n/a,n/a,n/a,n/a,Count(s) not required (<4 pens),1
2011,January,234,Mainstream Canada,Dixon Bay,49.405,-126.15055,Clayoquot Sound,Routine monitoring,2011-01-01,3,0.1333,0.1,0.05,0,n/a,2
2011,January,234,Mainstream Canada,Dixon Bay,49.405,-126.15055,Clayoquot Sound,Routine monitoring,2011-01-17,3,0.1667,0.15,0.0667,0.35,n/a,2
2011,January,540,Mainstream Canada,Fortune Channel,49.23503,-125.75174,Clayoquot Sound,Routine monitoring,2011-01-01,3,0.4333,0.2333,0.05,0,n/a,2
2011,January,540,Mainstream Canada,Fortune Channel,49.23503,-125.75174,Clayoquot Sound,Routine monitoring,2011-01-16,3,0.45,0.3,0.0167,0.0333,n/a,2
2011,January,1291,Mainstream Canada,McIntyre Lake,49.30557,-125.81583,Clayoquot Sound,Routine monitoring,2011-01-01,3,0.0333,0,0,0,n/a,2
2011,January,1291,Mainstream Canada,McIntyre Lake,49.30557,-125.81583,Clayoquot Sound,Routine monitoring,2011-01-16,3,0.2,0.15,0,0,n/a,2
2011,January,1507,Mainstream Canada,Millar Channel,49.37622,-126.09003,Clayoquot Sound,Routine monitoring,2011-01-03,3,0.0667,0,4.5833,0,n/a,1
2011,January,1507,Mainstream Canada,Millar Channel,49.37622,-126.09003,Clayoquot Sound,Routine monitoring,2011-01-17,3,0.1167,0.05,11.85,0,n/a,1
2011,January,526,Mainstream Canada,Rant Point,49.2567,-125.84153,Clayoquot Sound,Routine monitoring,2011-01-01,3,0.1,0.05,0.0833,0.2167,n/a,2
2011,January,526,Mainstream Canada,Rant Point,49.2567,-125.84153,Clayoquot Sound,Routine monitoring,2011-01-16,3,0.3,0.1333,0.0833,0.1333,n/a,2
2011,January,314,Mainstream Canada,Ross Pass,49.32437,-126.04849,Clayoquot Sound,Routine monitoring,2011-01-01,3,0.2,0.1333,0.5667,0.3667,n/a,1
2011,January,314,Mainstream Canada,Ross Pass,49.32437,-126.04849,Clayoquot Sound,Routine monitoring,2011-01-16,3,0.1833,0.0667,1.25,0.4333,n/a,1
2011,January,1472,Mainstream Canada,West Side,49.27928,-125.83065,Clayoquot Sound,Routine monitoring,2011-01-07,7,0,0,0,0,n/a,1
