Facility Reference Number,Site Common Name,Aquaculture Management Unit,separator,facility_id,name,region_name
78.0,Phillips Arm,Discovery Islands,,121.0,Phillips Arm,Discovery Islands
100.0,Lees Bay,Discovery Islands,,92.0,Lees Bay,Discovery Islands
136.0,Cliff Bay,Broughton Archipelago,,35.0,Cliff Bay,Broughton Archipelago
137.0,Conville Bay,Discovery Islands,,39.0,Conville Bay,Discovery Islands
141.0,Port Elizabeth,Broughton Archipelago,,124.0,Port Elizabeth,Broughton Archipelago
143.0,Larsen Island,Broughton Archipelago,,91.0,Larsen Island,Broughton Archipelago
144.0,Koskimo,Quatsino Sound,,88.0,Koskimo Bay,Nootka / Muchalet Inlet / Esperanza / Quatsino
169.0,Barkley,Barkley Sound,,,,
303.0,Glacial Creek,Sunshine Coast,,,,
377.0,Bickley Bay,Discovery Islands,,,,
753.0,Cormorant,Clayoquot Sound,,,,
1376.0,Cleagh Creek,Quatsino Sound,,,,
211.0,Okisollo,Discovery Islands,,117.0,Okisollo (Sonora Island),Discovery Islands
221.0,Vantage,Sunshine Coast,,165.0,Vantage,Jervis and Sechelt Inlet
227.0,Bawden,Clayoquot Sound,,12.0,Bawden,Clayoquot Sound / Tofino
234.0,Dixon Bay,Clayoquot Sound,,50.0,Dixon Bay,Clayoquot Sound / Tofino
304.0,Raza Island,Discovery Islands,,131.0,Raza Island,Discovery Islands
306.0,Venture Point,Discovery Islands,,166.0,Venture Point,Discovery Islands
314.0,Ross Pass,Clayoquot Sound,,134.0,Ross Pass,Clayoquot Sound / Tofino
332.0,Salten,Sunshine Coast,,135.0,Salten,Jervis and Sechelt Inlet
378.0,Thurlow,Discovery Islands,,160.0,Thurlow Point,Discovery Islands
380.0,Sonora Point,Discovery Islands,,148.0,Sonora Point,Discovery Islands
388.0,Brougham Point,Discovery Islands,,24.0,Brougham Point,Discovery Islands
412.0,Site 9,Sunshine Coast,,60.0,Farm 9,Jervis and Sechelt Inlet
458.0,Cypress Harbour,Broughton Archipelago,,45.0,Cypress Harbour,Broughton Archipelago
465.0,Swanson,Broughton Archipelago,,156.0,Swanson Island,Broughton Archipelago
466.0,Arrow Pass,Broughton Archipelago,,5.0,Arrow Passage,Broughton Archipelago
467.0,Midsummer,Broughton Archipelago,,105.0,Midsummer Island,Broughton Archipelago
520.0,Bedwell,Clayoquot Sound,,14.0,Bedwell,Clayoquot Sound / Tofino
526.0,Rant Point,Clayoquot Sound,,129.0,Rant Point,Clayoquot Sound / Tofino
527.0,Saranac Island,Clayoquot Sound,,139.0,Saranac Island,Clayoquot Sound / Tofino
540.0,Fortune Channel,Clayoquot Sound,,62.0,Fortune Channel,Clayoquot Sound / Tofino
543.0,Mussel Rock,Clayoquot Sound,,110.0,Mussel Rock,Clayoquot Sound / Tofino
553.0,Frederick Arm,Discovery Islands,,63.0,Frederick Arm,Discovery Islands
