facility_id,year,month,day,fish_selected,num_pens_sampled,chalimus_ab,lep_motile_ab,lep_af_ab,cal_motile_ab,sample_type,comments
5,2011,1,27.0,,3,0.2167,0.25,0.0,0.05,Routine monitoring,
25,2011,1,1.0,,3,1.1,1.3833,0.25,0.5,Routine monitoring,
25,2011,1,15.0,,3,1.8333,2.7833,1.2167,0.3667,Pre-treatment,In-feed treatment
45,2011,1,5.0,,2,0.1,0.35,0.175,0.0,Routine monitoring,Sampling methodology does not meet requirements outlined in licence conditions (broodstock in spawning year)
51,2011,1,20.0,,3,0.25,0.0667,0.0,0.0167,Follow-up,
113,2011,1,23.0,,3,0.4,0.2667,0.1833,0.0,Routine monitoring,
124,2011,1,23.0,,3,0.0833,0.4833,0.2,0.0,Routine monitoring,
125,2011,1,8.0,,2,6.4,4.075,2.675,2.05,Threshold exceedance; Pre-treatment,In-feed treatment; Sampling methodology does not meet requirements outlined in licence conditions (broodstock in spawning year)
125,2011,1,31.0,,2,2.025,1.425,0.825,0.0,Follow-up,Sampling methodology does not meet requirements outlined in licence conditions (broodstock in spawning year)
145,2011,1,18.0,,3,0.0333,0.8333,0.45,0.05,Routine monitoring,
146,2011,1,,,0,,,,,Routine monitoring,Count(s) not required (harvesting)
156,2011,1,4.0,,3,0.0,0.6167,0.25,0.0,Routine monitoring,
156,2011,1,18.0,,3,0.1167,0.2,0.0833,0.0,Routine monitoring,
164,2011,1,,,0,,,,,Routine monitoring,Count(s) not required (<4 pens)
173,2011,1,13.0,,3,0.6,0.0333,0.0,0.0,Routine monitoring,
70,2011,1,4.0,,3,0.0833,0.7667,0.3167,0.0,Routine monitoring,
82,2011,1,,,0,,,,,Routine monitoring,Count(s) not required (<4 pens)
85,2011,1,4.0,,3,0.0333,1.05,0.5,0.0,Routine monitoring,
94,2011,1,8.0,,3,0.0,0.2167,0.0667,0.0,Routine monitoring,
96,2011,1,25.0,,3,0.8667,0.6167,0.15,0.3,Routine monitoring,
142,2011,1,20.0,,3,0.0,0.0667,0.0333,0.0,Routine monitoring,
19,2011,1,5.0,,2,0.05,0.025,0.0,0.0,Routine monitoring,"Sampling methodology differs from requirements outlined in licence conditions, but meets or exceeds the requirement"
19,2011,1,20.0,,3,0.0,0.0,0.0,0.0,Routine monitoring,
50,2011,1,1.0,,3,0.05,0.1333,0.1,0.0,Routine monitoring,
50,2011,1,17.0,,3,0.0667,0.1667,0.15,0.35,Routine monitoring,
62,2011,1,1.0,,3,0.05,0.4333,0.2333,0.0,Routine monitoring,
62,2011,1,16.0,,3,0.0167,0.45,0.3,0.0333,Routine monitoring,
98,2011,1,1.0,,3,0.0,0.0333,0.0,0.0,Routine monitoring,
98,2011,1,16.0,,3,0.0,0.2,0.15,0.0,Routine monitoring,
106,2011,1,3.0,,3,4.5833,0.0667,0.0,0.0,Routine monitoring,
106,2011,1,17.0,,3,11.85,0.1167,0.05,0.0,Routine monitoring,
129,2011,1,1.0,,3,0.0833,0.1,0.05,0.2167,Routine monitoring,
129,2011,1,16.0,,3,0.0833,0.3,0.1333,0.1333,Routine monitoring,
134,2011,1,1.0,,3,0.5667,0.2,0.1333,0.3667,Routine monitoring,
134,2011,1,16.0,,3,1.25,0.1833,0.0667,0.4333,Routine monitoring,
172,2011,1,7.0,,7,0.0,0.0,0.0,0.0,Routine monitoring,
172,2011,1,15.0,,3,0.0,0.0,0.0,0.0,Routine monitoring,
11,2011,1,17.0,,3,0.0,0.3167,0.1333,0.0,Routine monitoring,
24,2011,1,5.0,,3,0.0167,0.5667,0.2333,0.0,Routine monitoring,
29,2011,1,12.0,,3,0.3833,0.15,0.05,0.0667,Routine monitoring,
39,2011,1,29.0,,3,0.0,1.0333,0.1333,0.1667,Routine monitoring,
61,2011,1,13.0,,3,0.0333,0.4333,0.3167,0.0,Routine monitoring,
63,2011,1,12.0,,3,0.0,0.1333,0.1,0.0,Routine monitoring,
73,2011,1,4.0,,3,0.1667,0.1833,0.05,0.0333,Routine monitoring,
73,2011,1,31.0,,3,0.75,9.3833,6.0167,4.1667,Routine monitoring,
92,2011,1,14.0,,3,0.1833,0.2167,0.0333,0.0,Routine monitoring,
121,2011,1,3.0,,3,0.0167,0.1,0.05,0.0,Routine monitoring,
131,2011,1,18.0,,3,0.0833,1.5,0.95,0.1667,Follow-up,
141,2011,1,19.0,,3,0.5833,0.8667,0.3,0.0333,Routine monitoring,
148,2011,1,,,0,,,,,Routine monitoring,Count(s) not required (<4 pens)
160,2011,1,3.0,,3,0.0167,0.8667,0.3333,0.0,Routine monitoring,
58,2011,1,20.0,,3,0.05,0.45,0.1167,0.0,Routine monitoring,
152,2011,1,20.0,,3,0.0,0.3833,0.15,0.0,Routine monitoring,
7,2011,1,15.0,,3,0.0167,0.0767,0.02,0.0,Routine monitoring,
108,2011,1,23.0,,3,0.0,0.0667,0.05,0.0,Routine monitoring,
174,2011,1,28.0,,3,0.0,0.7667,0.5333,0.0,Routine monitoring,
15,2011,1,6.0,,3,0.0,0.0,0.0,0.0,Routine monitoring,
52,2011,1,19.0,,3,0.1,3.7167,2.3,0.3167,Threshold exceedance,Harvesting
53,2011,1,4.0,,3,0.0,0.0,0.0,0.0,Routine monitoring,
130,2011,1,10.0,,3,0.3167,1.7833,0.3667,0.6,Routine monitoring,
144,2011,1,,,0,,,,,Routine monitoring,Count(s) not required (<4 pens)
88,2011,1,8.0,,3,0.0,0.6667,0.4667,0.0,Routine monitoring,
99,2011,1,26.0,,3,0.0833,0.0167,0.0,0.0,Routine monitoring,
100,2011,1,12.0,,3,0.0333,0.3,0.1667,0.0,Routine monitoring,
107,2011,1,15.0,,3,0.6333,16.8167,7.5,0.2833,Threshold exceedance,Harvesting
1,2011,1,21.0,,3,0.0,1.0333,0.4167,0.0,Routine monitoring,
44,2011,1,24.0,,3,0.0,0.1167,0.0333,0.4667,Routine monitoring,
135,2011,1,26.0,,1,0.0,0.0,0.0,0.0,Routine monitoring,Sampling methodology does not meet requirements outlined in licence conditions
59,2011,1,26.0,,2,0.0,0.05,0.0,0.0,Routine monitoring,Sampling methodology does not meet requirements outlined in licence conditions (<4 pens)
5,2011,2,18.0,,3,0.4167,0.35,0.0833,0.2667,Routine monitoring,
25,2011,2,19.0,,3,0.0167,0.1,0.0333,0.0333,Post in-feed treatment,
45,2011,2,24.0,,2,0.0,0.4,0.075,0.0,Routine monitoring,Sampling methodology does not meet requirements outlined in licence conditions (broodstock in spawning year)
51,2011,2,5.0,,3,0.0167,0.05,0.0333,0.0167,Post in-feed treatment,
103,2011,2,19.0,,3,0.0667,0.1667,0.0,0.0833,Routine monitoring,
113,2011,2,8.0,,3,0.0833,0.45,0.15,0.0333,Routine monitoring,
124,2011,2,5.0,,3,0.0167,0.4,0.1,0.0,Routine monitoring,
125,2011,2,19.0,,2,0.0,0.025,0.025,0.0,Post in-feed treatment,Sampling methodology does not meet requirements outlined in licence conditions (broodstock in spawning year)
145,2011,2,,,0,,,,,Routine monitoring,Count(s) not required (<4 pens)
146,2011,2,,,0,,,,,Routine monitoring,Count(s) not required (harvesting)
156,2011,2,25.0,,3,0.0,0.0333,0.0,0.0,Routine monitoring,
164,2011,2,16.0,,3,0.4833,0.1333,0.0,0.0833,Routine monitoring,
171,2011,2,,,0,,,,,Routine monitoring,Count(s) not required (<4 pens)
173,2011,2,13.0,,3,1.4667,0.1167,0.0333,0.15,Routine monitoring,
70,2011,2,2.0,,3,0.0,0.1667,0.15,0.0167,Routine monitoring,
82,2011,2,,,0,,,,,Routine monitoring,Count(s) not required (<4 pens)
85,2011,2,11.0,,3,0.05,0.3667,0.2333,0.0333,Routine monitoring,
94,2011,2,2.0,,3,0.4,0.15,0.0167,0.0333,Routine monitoring,
96,2011,2,1.0,,2,5.45,0.575,0.25,1.9,Routine monitoring,"Sampling methodology differs from requirements outlined in licence conditions, but meets or exceeds the requirement"
96,2011,2,26.0,,3,1.6833,0.4667,0.25,0.0833,Routine monitoring,
142,2011,2,8.0,,3,0.0,0.0,0.0,0.0,Routine monitoring,
19,2011,2,1.0,,3,0.0167,0.1333,0.05,0.0833,Routine monitoring,
19,2011,2,19.0,,3,0.1333,0.0667,0.0333,0.3833,Routine monitoring,
50,2011,2,1.0,,3,0.2833,0.3167,0.15,0.0,Routine monitoring,
50,2011,2,17.0,,3,1.45,0.4333,0.05,0.05,Routine monitoring,
62,2011,2,1.0,,3,0.0,0.4,0.2333,0.0,Pre-treatment,
62,2011,2,16.0,,3,0.0,0.3167,0.2,0.0333,Follow-up,
98,2011,2,1.0,,3,0.0,0.1167,0.0333,0.0333,Routine monitoring,
98,2011,2,24.0,,3,0.05,0.1333,0.0667,0.0,Routine monitoring,
106,2011,2,1.0,,3,15.6667,11.3167,0.2167,0.0,Threshold exceedance,Management action planned (In-feed treatment)
106,2011,2,16.0,,3,25.2333,17.4333,1.8667,0.0,Pre-treatment; Follow-up,In-feed treatment
129,2011,2,2.0,,3,0.1167,0.1167,0.05,0.0833,Routine monitoring,
129,2011,2,16.0,,3,0.2,0.3333,0.1333,0.1,Routine monitoring,
134,2011,2,1.0,,3,3.3833,0.9167,0.2333,0.0833,Routine monitoring,
134,2011,2,16.0,,3,5.4,1.2167,0.4333,1.4,Pre-treatment,In-feed treatment
172,2011,2,2.0,,3,0.0,0.0,0.0,0.0,Routine monitoring,
172,2011,2,24.0,,3,0.0167,0.1,0.0,0.0,Routine monitoring,
11,2011,2,17.0,,2,0.7,0.625,0.425,0.0,Routine monitoring,Sampling methodology does not meet requirements outlined in licence conditions (harvesting)
