event_id,sampledate,region,dfozone,sample_site,latitude,longitude,source
hakai_DE100N2,2015-05-12,,,Hurtado Point,,,Hakai Institute
hakai_DE100N1,2015-05-12,,,Hurtado Point,,,Hakai Institute
hakai_DE100N3,2015-05-12,Discovery Islands,3_2,Hurtado Point,49.9613,-124.747,Hakai Institute
hakai_DE101N1,2015-05-13,Discovery Islands,3_2,Kinghorn Island,50.07902,-124.8509,Hakai Institute
hakai_DE102N1,2015-05-14,Discovery Islands,3_2,Francisco Point,49.99932,-125.1395,Hakai Institute
hakai_DE103N1,2015-05-15,Discovery Islands,3_2,Lewis Channel,50.16142,-124.8842,Hakai Institute
hakai_DE104N1,2015-05-15,Discovery Islands,3_2,Kinghorn Island,50.08007,-124.8511,Hakai Institute
hakai_DE105N1,2015-05-15,Discovery Islands,3_2,Sutil Narrows,50.11842,-125.07512,Hakai Institute
hakai_DE106N1,2015-05-16,Discovery Islands,3_2,Gowlland Harbour,50.08005,-125.2468,Hakai Institute
hakai_DE107N1,2015-05-16,Discovery Islands,3_2,Hoskyn Channel,50.16412,-125.1602,Hakai Institute
hakai_DE108N1,2015-05-17,Discovery Islands,3_2,Kinghorn Island,50.08123,-124.8549,Hakai Institute
hakai_DE109N1,2015-05-18,Discovery Islands,3_2,Sutil Narrows,50.11405,-125.0787,Hakai Institute
hakai_DE110N1,2015-05-18,Discovery Islands,3_2,Lewis Channel,50.1659,-124.8888,Hakai Institute
hakai_DE111N1,2015-05-19,Discovery Islands,3_2,Calm Channel,50.34273,-125.0841,Hakai Institute
hakai_DE112N1,2015-05-20,Discovery Islands,3_2,Okisollo Channel,50.30787,-125.3293,Hakai Institute
hakai_DE114N1,2015-05-21,Discovery Islands,3_2,Sutil Narrows,50.13705,-125.1175,Hakai Institute
hakai_DE115N1,2015-05-21,,,Hoskyn Channel,,,Hakai Institute
hakai_DE115N2,2015-05-21,Discovery Islands,3_2,Hoskyn Channel,50.18217,-125.1493,Hakai Institute
hakai_DE116N1,2015-05-23,Discovery Islands,3_2,Calm Channel,50.31962,-125.0395,Hakai Institute
hakai_DE117N1,2015-05-23,Discovery Islands,3_2,Hall Point,50.44365,-125.279,Hakai Institute
hakai_DE120N1,2015-05-24,,,Turn Island,,,Hakai Institute
hakai_DE120N2,2015-05-24,Discovery Islands,3_2,Turn Island,50.34655,-125.45602,Hakai Institute
hakai_DE121N1,2015-05-24,Discovery Islands,3_2,Okisollo Channel,50.30723,-125.33345,Hakai Institute
hakai_DE124N1,2015-05-25,Discovery Islands,3_2,Calm Channel,50.3153,-125.05186,Hakai Institute
hakai_DE125N1,2015-05-25,,,Lewis Channel,,,Hakai Institute
hakai_DE128N3,2015-05-26,,,Hall Point,,,Hakai Institute
hakai_DE128N2,2015-05-26,,,Hall Point,,,Hakai Institute
hakai_DE128N1,2015-05-26,,,Hall Point,,,Hakai Institute
hakai_DE128N4,2015-05-26,Discovery Islands,3_2,Hall Point,50.44466,-125.2804,Hakai Institute
hakai_DE130N1,2015-05-26,Discovery Islands,3_2,Okisollo Channel,50.30795,-125.32452,Hakai Institute
hakai_DE137N1,2015-05-28,Discovery Islands,3_2,Hall Point,50.44941,-125.33027,Hakai Institute
hakai_DE138N1,2015-05-28,,,Turn Island,,,Hakai Institute
hakai_DE139N1,2015-05-28,Discovery Islands,3_2,Okisollo Channel,50.30884,-125.32275,Hakai Institute
hakai_DE140N1,2015-05-30,Discovery Islands,3_2,Gowlland Harbour,50.10015,-125.27265,Hakai Institute
hakai_DE143N1,2015-05-31,Discovery Islands,3_2,Calm Channel,50.31763,-125.04942,Hakai Institute
hakai_DE145N1,2015-05-31,Discovery Islands,3_2,Kinghorn Island,50.06119,-124.87916,Hakai Institute
hakai_DE146N1,2015-05-31,,,Hurtado Point,,,Hakai Institute
hakai_DE148N1,2015-05-31,,,Sutil Narrows,,,Hakai Institute
hakai_DE149N1,2015-06-01,Discovery Islands,3_2,Hall Point,50.44527,-125.2774,Hakai Institute
hakai_DE150N2,2015-06-01,,,Turn Island,,,Hakai Institute
hakai_DE150N1,2015-06-01,,,Turn Island,,,Hakai Institute
hakai_DE150N3,2015-06-01,Discovery Islands,3_2,Turn Island,50.34762,-125.45358,Hakai Institute
hakai_DE151N1,2015-06-01,Discovery Islands,3_2,Okisollo Channel,50.30492,-125.33058,Hakai Institute
hakai_DE152N2,2015-06-03,,,Hall Point,,,Hakai Institute
