facility_id,year,month,fish_selected,chalimus_ab,lep_motile_ab,lep_af_ab,cal_motile_ab,weight
1,2009,5,120,0.0000,0.0167,0.0083,0.0000,1.0000
1,2009,6,40,0.0000,0.0000,0.0000,0.0000,0.4793
1,2010,11,60,0.0167,0.5333,0.1833,0.0167,0.4773
1,2010,12,62,0.0161,0.6290,0.3065,0.0000,0.3300
1,2011,1,60,0.0000,1.0333,0.4167,0.0000,0.2320
1,2011,2,60,0.0000,1.9833,0.4333,0.0000,0.2130
1,2011,3,120,0.2250,0.4000,0.2583,6.0167,0.2097
1,2011,4,120,0.1917,0.4000,0.1167,1.2167,0.2337
1,2011,5,120,0.0000,0.0833,0.0167,0.0750,0.2184
1,2011,6,60,0.0333,0.0167,0.0167,0.0167,0.3327
1,2011,7,60,0.0000,0.0000,0.0000,0.0000,0.2413
1,2011,8,61,0.0000,0.0000,0.0000,0.0000,0.0944
1,2011,9,60,0.0000,0.0000,0.0000,0.0000,0.1473
1,2011,10,60,0.0000,0.0167,0.0167,0.0000,0.2012
1,2011,11,60,0.0333,0.2167,0.0333,0.0833,0.1461
1,2012,3,40,0.0000,0.0000,0.0000,0.0000,0.3545
1,2012,4,60,0.0000,0.0167,0.0167,0.0000,0.4205
1,2013,10,61,0.0000,0.1311,0.0000,0.0000,0.3091
1,2013,11,60,0.0000,0.1333,0.0167,0.0000,0.5541
1,2013,12,60,0.0000,0.2667,0.0500,0.0000,1.0000
1,2014,1,60,0.1167,0.4667,0.1833,0.0000,0.5501
1,2014,2,60,0.2333,0.0333,0.0000,0.0000,0.6644
1,2014,4,20,0.3000,0.0000,0.0000,0.0000,0.0881
1,2014,5,60,0.0000,0.0000,0.0000,0.0000,0.4586
1,2014,6,40,0.0000,0.0250,0.0000,0.0000,0.4138
1,2015,3,120,0.2500,0.0417,0.0250,0.0083,0.5990
1,2015,4,120,0.0083,0.1167,0.0167,0.0750,0.5379
1,2015,5,124,0.0645,0.1774,0.0887,0.0081,0.4463
1,2015,6,124,0.0726,0.0323,0.0161,0.0000,0.3858
1,2015,7,62,0.0161,0.0645,0.0000,0.0000,0.3242
1,2015,8,63,0.0476,0.0794,0.0317,0.0000,0.3141
1,2015,9,60,0.2667,2.7000,1.3833,0.0000,0.3100
1,2015,10,60,0.0000,3.9333,2.2500,0.0000,0.5432
1,2015,11,60,0.0000,0.2667,0.1500,0.0000,0.1248
1,2015,12,60,0.0000,0.0833,0.0667,0.0000,0.3053
1,2016,1,63,1.3651,0.1270,0.1111,0.0635,0.2274
1,2016,2,62,0.0484,0.6290,0.2581,0.0000,0.2644
1,2016,3,123,0.1382,0.4472,0.1626,0.0000,0.3111
1,2016,4,125,0.1360,0.9520,0.4480,0.0000,0.2574
1,2016,5,123,0.2358,1.9675,1.0163,0.3740,0.1929
1,2016,6,63,0.2540,4.8254,1.8413,0.0476,0.2474
1,2016,8,60,0.0000,0.0333,0.0167,0.0000,0.1744
1,2016,9,63,0.1111,0.5238,0.1746,0.0000,0.5010
1,2016,10,63,0.0159,0.1111,0.0000,0.0000,0.1993
1,2017,4,122,0.0000,0.0492,0.0000,0.2623,0.1964
1,2017,5,125,0.0080,0.2080,0.0480,0.1040,0.7929
1,2017,6,124,0.0000,0.1290,0.0081,0.0484,0.6349
1,2017,7,60,0.0000,0.0500,0.0000,0.0000,0.5339
1,2017,8,60,0.0000,0.1000,0.0167,0.0000,0.5340
1,2017,9,63,0.0000,0.2381,0.0794,0.0000,0.5342
1,2017,10,60,0.2333,0.3333,0.2667,0.0333,0.7667
1,2017,11,63,0.2222,1.2540,0.4286,0.3651,0.3107
1,2017,12,61,0.2951,0.8033,0.3279,0.1148,0.2181
1,2018,1,63,0.2381,1.1587,0.7302,0.2698,0.2263
1,2018,2,61,0.8852,0.3770,0.2131,0.0164,0.2268
1,2018,3,130,0.0154,0.2000,0.0923,0.0000,0.2274
1,2018,4,105,0.0000,0.1905,0.0952,0.0000,0.2285
1,2018,5,127,0.1732,0.0551,0.0157,0.0945,0.1603
1,2018,6,64,0.0000,0.2344,0.0312,0.0000,0.0829
1,2018,7,63,0.0000,0.1270,0.0317,0.0000,0.0836
1,2018,9,63,0.0000,0.1429,0.1111,0.0000,0.1087
1,2019,5,63,0.2222,0.1429,0.0000,0.1429,0.2804
1,2019,6,127,0.2047,1.6142,0.5197,0.1890,0.4232
1,2019,7,147,0.2109,0.0816,0.0340,0.0000,0.4282
1,2019,9,63,0.0000,0.5238,0.1587,0.0000,0.1998
1,2019,10,63,0.0317,0.5397,0.3016,0.0000,0.2020
1,2019,11,63,0.0635,0.7302,0.3016,0.0159,0.2027
1,2019,12,64,0.2812,2.6250,1.4844,0.9219,0.2025
1,2020,1,66,2.0758,7.6818,3.5000,2.8182,0.2798
1,2020,2,60,0.2667,1.6833,0.9333,0.0500,0.2023
1,2020,3,240,0.0417,0.3625,0.2375,0.0292,0.2291
1,2020,4,240,0.3542,0.4333,0.2708,0.0167,0.1903
1,2020,5,240,1.9417,1.2708,0.5083,0.2083,0.2489
1,2020,6,221,0.2986,1.8281,1.0136,0.1629,0.2975
1,2020,7,100,0.0400,1.3200,0.7400,0.0100,0.3233
1,2020,8,60,0.2333,0.8333,0.4000,0.0667,0.4270
1,2021,7,60,0.1333,0.0833,0.0000,0.0167,0.2237
1,2021,8,60,0.0000,0.0667,0.0333,0.0000,0.2105
1,2021,9,40,0.1250,1.4000,0.8500,0.0250,0.2116
1,2021,10,60,0.0167,1.7833,1.1333,0.0000,0.2132
1,2021,11,40,0.0000,0.1750,0.0500,0.0500,0.2140
1,2021,12,40,0.0000,0.1000,0.0500,0.0000,0.2148
1,2022,1,60,0.0500,0.0500,0.0000,0.0000,0.2153
1,2022,2,60,0.4833,0.1333,0.0667,0.1833,0.2156
1,2022,3,80,3.9750,1.3500,0.1750,0.4125,0.2159
1,2022,4,160,1.5688,1.1562,0.3438,0.7312,0.2155
1,2022,5,180,0.2389,0.8500,0.5111,0.2500,0.2144
1,2022,6,100,0.1100,0.4200,0.2300,0.0600,0.2123
1,2022,7,40,0.0250,0.2000,0.1000,0.0000,0.2199
1,2022,8,40,0.0000,0.3500,0.2000,0.0000,0.2460
1,2022,9,40,0.0000,0.3250,0.1000,0.0000,0.3086
1,2022,10,20,0.0000,0.2000,0.2000,0.0000,0.1172
2,2016,11,120,4.1000,0.8667,0.2500,1.2833,0.3777
2,2016,12,120,5.3167,2.0083,0.6667,2.3500,0.3287
2,2017,1,220,3.6455,1.0818,0.2455,1.1682,0.3857
2,2017,2,200,3.6450,0.9350,0.1950,2.7600,0.3971
2,2017,3,440,0.8159,0.3636,0.0568,0.9182,0.4205
2,2017,4,200,2.6550,0.4250,0.0500,0.4400,0.3007
2,2017,5,200,7.5150,0.8900,0.3200,2.7300,0.3143
2,2017,6,200,4.0150,0.7100,0.2050,4.7850,0.3372
2,2017,7,460,1.9500,0.4761,0.0587,1.6500,0.3497
2,2017,8,200,5.1350,2.7900,0.7450,4.0050,0.3577
2,2017,9,200,0.9050,3.0250,1.5400,2.0500,0.3782
2,2017,10,320,1.7156,6.2906,3.0344,1.6125,0.2935
2,2017,11,200,0.0750,0.4350,0.3300,0.0450,0.4600
2,2017,12,240,0.3250,1.5542,0.7042,0.2625,0.3181
2,2018,1,260,0.3885,1.8923,1.0000,0.2731,0.3181
2,2018,2,240,0.1083,2.3625,1.4500,0.0833,0.3080
2,2018,3,360,0.0750,1.0694,0.6694,0.0444,0.2717
2,2018,4,220,0.5727,0.9045,0.2045,0.0773,0.2099
2,2018,5,120,0.3917,2.1250,0.7000,0.0667,0.0934
2,2018,11,120,7.0500,1.6000,0.0083,0.9583,0.2856
2,2018,12,180,2.8278,0.3222,0.1000,3.2111,0.3014
2,2019,1,200,1.7100,0.4350,0.0700,3.5250,0.3415
2,2019,2,340,0.5471,0.2853,0.0588,0.7647,0.3437
2,2019,3,180,0.4222,0.0500,0.0000,0.0556,0.3418
2,2019,4,180,3.4778,0.5056,0.0444,0.7278,0.3572
2,2019,5,320,4.5281,0.3812,0.0813,1.3531,0.2896
2,2019,6,300,7.2500,0.4833,0.1567,1.7967,0.3186
2,2019,7,220,5.8364,0.2045,0.0136,0.4909,0.3463
2,2019,8,240,12.9333,5.1208,2.2875,1.9792,0.3700
2,2019,9,660,3.8955,8.2227,4.7788,0.3379,0.3721
2,2019,10,260,3.1192,10.0885,5.5577,0.4269,0.4195
2,2019,11,180,1.0111,5.8444,4.3833,0.0222,0.3157
2,2019,12,240,0.0125,1.1458,0.8208,0.0167,0.3590
2,2020,1,240,0.0083,1.1458,0.8333,0.0125,0.3591
2,2020,2,240,0.1125,1.0667,0.7000,0.0250,0.3609
2,2020,3,300,0.4300,1.2900,0.6367,0.0667,0.3110
2,2020,4,240,2.1167,2.2333,1.1250,0.1167,0.2073
2,2020,5,340,4.1676,4.0618,1.7824,0.4059,0.1763
2,2020,6,60,3.4833,7.8500,3.9167,0.4833,0.1178
2,2021,12,200,3.3500,0.6500,0.0000,0.0000,0.3545
