facility_id,name,dfozone,latitude,longitude,company,region
1,Ahlstrom,3_1,49.7785270000001,-124.154337,Grieg,Jervis and Sechelt Inlet
2,Alexander Inlet,3_5,52.67648,-128.57494,MOWI Canada West,Klemtu
3,Althorpe,3_2,50.4728,-125.808583333333,MOWI Canada West,Discovery Islands
5,Arrow Passage,3_3,50.7094,-126.662966666667,MOWI Canada West,Broughton Archipelago
7,Atrevida,2_4,49.6560670000001,-126.453783,Grieg,Nootka Sound
9,Bare Bluff,2_3,49.3288170000001,-125.798417,Cermaq,Clayoquot Sound
11,Barnes Bay,3_2,50.3243300000001,-125.260558,Grieg,Discovery Islands
12,Bawden,2_3,49.3061000000001,-126.009117,Cermaq,Clayoquot Sound
14,Bedwell,2_3,49.2694330000001,-125.810517,Cermaq,Clayoquot Sound
15,Bell Island,3_4,50.8317833333333,-127.52105,MOWI Canada West,Port Hardy
19,Binns Island,2_3,49.339617,-125.9533,Cermaq,Clayoquot Sound
24,Brougham Point,3_2,50.3706166666667,-125.381116666667,MOWI Canada West,Discovery Islands
25,Burdwood,3_3,50.7975,-126.494433,Cermaq,Broughton Archipelago
27,Cecil Island,3_3,50.8501670000001,-126.715917,Cermaq,Broughton Archipelago
29,Chancellor Channel,3_2,50.4135000000002,-125.6588,MOWI Canada West,Discovery Islands
33,Church House Calm Channel,3_2,50.344417,-125.08863,MOWI Canada West,Discovery Islands
35,Cliff Bay,3_3,50.8347670000001,-126.497733,Cermaq,Broughton Archipelago
36,Cliff Cove,2_4,49.88622,-126.76972,Grieg,Esperanza Inlet
37,Concepcion,2_4,49.659437,-126.47622,Grieg,Nootka Sound
39,Conville Bay,3_2,50.178833,-125.15136,MOWI Canada West,Discovery Islands
42,Cougar,3_5,52.71993,-128.57432,MOWI Canada West,Klemtu
44,Culloden,3_1,49.7960970000001,-124.098635,Grieg,Jervis and Sechelt Inlet
45,Cypress Harbour,3_3,50.8374741968636,-126.663728089515,Cermaq,Broughton Archipelago
46,Cyrus Rocks,3_2,50.2562833333334,-125.21145,MOWI Canada West,Discovery Islands
50,Dixon Bay,2_3,49.404183,-126.151667,Cermaq,Clayoquot Sound
51,Doctor Islets,3_3,50.6547333333334,-126.28805,MOWI Canada West,Broughton Archipelago
52,Doyle Island,3_4,50.8146333333334,-127.491016666667,MOWI Canada West,Port Hardy
53,Duncan Island,3_4,50.8214500000001,-127.552383333333,MOWI Canada West,Port Hardy
58,Esperanza,2_4,49.878288,-126.761623,Grieg,Esperanza Inlet
61,Farside,3_2,50.4861833333333,-125.27555,MOWI Canada West,Discovery Islands
62,Fortune Channel,2_3,49.2342330000001,-125.751767,Cermaq,Clayoquot Sound
63,Frederick Arm,3_2,50.4694833333334,-125.26285,MOWI Canada West,Discovery Islands
67,Ghi ya (Bull Harbour),3_4,50.90078,-127.93638,MOWI Canada West,Port Hardy
69,Glacier Falls,3_3,50.8480333333333,-126.317383333333,MOWI Canada West,Broughton Archipelago
70,Goat Cove,3_5,52.7855666666667,-128.415666666667,MOWI Canada West,Klemtu
72,Gore,2_4,49.6458330000001,-126.434292,Grieg,Nootka Sound
73,Hardwicke Island,3_2,50.4145000000001,-125.769633333333,MOWI Canada West,Discovery Islands
76,Hecate,2_4,49.8688380000001,-126.757947,Grieg,Esperanza Inlet
79,Humphrey Rocks,3_3,50.6987,-126.2545,MOWI Canada West,Broughton Archipelago
82,Jackson Passage,3_5,52.5376166666667,-128.404566666667,MOWI Canada West,Klemtu
85,Kid Bay,3_5,52.7981333333335,-128.404366666667,MOWI Canada West,Klemtu
88,Koskimo Bay,2_4,50.4575166666667,-127.891133333333,MOWI Canada West,Quatsino Sound
89,Kunechin,3_1,49.634543,-123.782795,Grieg,Jervis and Sechelt Inlet
91,Larsen Island,3_3,50.6012,-126.634216666667,MOWI Canada West,Broughton Archipelago
