year,dfozone,month,chal_load_median,lep_mot_load_median,lep_af_load_median,cal_mot_load_median
2003,3_3,10,98833.375,727731.100,154987.800,19193.750
2003,3_3,11,81671.500,724999.050,291804.900,86235.625
2003,3_3,12,305885.500,777083.850,321346.000,320482.400
2004,2_3,11,0.000,54557.767,25318.167,0.000
2004,2_3,12,0.000,75548.500,40292.533,0.000
2004,2_4,11,87553.900,402338.933,91440.667,0.000
2004,2_4,12,6168.767,740725.117,273527.725,0.000
2004,3_1,11,0.000,5530.967,0.000,0.000
2004,3_1,12,0.000,5325.933,5325.933,5325.933
2004,3_2,11,442242.167,338470.200,175503.067,0.000
2004,3_2,12,182584.286,255618.000,85206.000,94571.767
2004,3_3,1,84343.275,283726.400,120733.900,27512.000
2004,3_3,2,100257.225,593345.800,157214.975,15744.675
2004,3_3,3,278077.050,617949.000,139038.525,40558.829
2004,3_3,4,856996.400,1648194.300,277812.733,35320.675
2004,3_3,5,509322.150,1748360.700,485655.750,120576.800
2004,3_3,6,118077.750,1376743.825,623051.950,2401.375
2004,3_3,7,20287.238,536974.500,107394.900,0.000
2004,3_3,8,41603.400,263954.333,77395.952,0.000
2004,3_3,9,6569.438,522635.200,175054.429,0.000
2004,3_3,10,9930.286,30618.381,20688.095,957.600
2004,3_3,11,203481.867,270221.567,76548.133,20067.250
2004,3_3,12,499747.117,1236505.733,276198.233,178457.758
2004,3_4,11,446253.700,300646.133,34371.533,23119.100
2004,3_4,12,364908.000,202726.667,22206.350,7402.117
2004,3_5,11,1569715.533,279837.867,214250.867,0.000
2004,3_5,12,131037.000,16455.500,8735.800,204572.050
2005,2_3,1,9974.933,185305.067,63698.617,0.000
2005,2_3,2,8515.100,368871.108,184510.692,5676.733
2005,2_3,3,33918.400,236291.250,128367.633,10501.833
2005,2_3,4,39727.808,358237.917,111518.092,39147.800
2005,2_3,5,41372.300,227070.000,67280.000,35885.000
2005,2_3,6,4085.225,56543.400,11104.783,68047.883
2005,2_3,7,4321.383,113792.900,25885.212,32410.375
2005,2_3,8,0.000,132286.075,31509.958,28668.092
2005,2_3,9,16438.400,360368.200,101991.000,12930.350
2005,2_3,10,8290.558,420024.608,251220.525,7353.225
2005,2_3,11,76738.200,805871.000,322348.400,74207.100
2005,2_3,12,59603.017,476824.133,153264.900,73125.000
2005,2_4,1,0.000,150956.167,73321.567,0.000
2005,2_4,2,4194.650,143083.736,88311.150,0.000
2005,2_4,3,6199.975,91256.067,27340.167,0.000
2005,2_4,4,40205.767,62131.300,36267.000,0.000
2005,2_4,5,22290.917,46256.383,16975.164,0.000
2005,2_4,6,34281.400,125698.467,79989.933,0.000
2005,2_4,7,59235.550,303086.625,124782.258,4157.425
2005,2_4,8,73920.812,608518.517,290059.133,0.000
2005,2_4,9,176833.642,1227382.492,692512.033,8289.767
2005,2_4,10,35366.942,774869.500,329445.792,0.000
2005,2_4,11,46524.300,2760441.800,1209631.800,0.000
2005,2_4,12,517434.067,1838789.467,743655.725,0.000
2005,3_1,1,0.000,5842.600,2080.733,0.000
2005,3_1,2,0.000,16336.158,8383.383,0.000
2005,3_1,3,0.000,11699.683,10.683,0.000
2005,3_1,4,6939.700,20881.833,11012.433,31.725
2005,3_1,5,11367.567,20050.458,15456.525,0.000
2005,3_1,6,0.000,34288.000,20109.000,0.000
2005,3_1,7,0.000,20145.900,7263.125,0.000
2005,3_1,8,0.000,13094.400,3273.600,3273.600
2005,3_1,9,0.000,9394.333,7045.750,0.000
2005,3_1,10,0.000,0.000,0.000,0.000
2005,3_1,11,0.000,17089.500,7488.050,0.000
2005,3_1,12,1242.794,17447.678,4990.600,0.000
2005,3_2,1,865018.000,222171.000,85095.333,0.000
2005,3_2,2,402110.179,287901.292,29942.692,3166.017
2005,3_2,3,728748.000,727136.000,294864.900,106177.000
2005,3_2,4,1609350.208,832251.879,359008.579,339366.967
2005,3_2,5,445274.633,238443.667,131771.500,44628.667
2005,3_2,6,169371.750,279182.600,10208.800,2227.750
2005,3_2,7,21330.350,123410.808,14130.308,0.000
2005,3_2,8,0.000,48585.333,8753.667,35454.450
2005,3_2,9,65912.575,158851.050,10721.942,51503.125
2005,3_2,10,80754.917,416391.600,96661.833,0.000
2005,3_2,11,128425.183,445737.000,178193.000,0.000
2005,3_2,12,215628.300,1274539.925,397514.400,0.000
2005,3_3,1,189170.008,1144486.217,287921.600,89552.000
2005,3_3,2,53650.242,734246.893,276688.717,32584.317
2005,3_3,3,17873.567,389710.500,94661.933,5923.617
2005,3_3,4,302191.500,609032.417,119332.350,85620.925
2005,3_3,5,566882.700,529679.025,134480.094,101351.542
2005,3_3,6,223242.833,570100.767,111463.733,48549.867
2005,3_3,7,16648.117,565199.012,155695.737,11420.833
2005,3_3,8,133583.767,277569.200,80061.500,0.000
2005,3_3,9,24289.875,864753.600,432319.033,15702.050
2005,3_3,10,268376.000,1881668.550,1085437.533,59169.417
2005,3_3,11,124488.600,1464225.500,729023.667,47835.800
2005,3_3,12,117656.933,1554561.417,949412.425,76691.283
2005,3_4,1,448399.875,1091461.617,382909.233,124966.125
2005,3_4,2,377553.342,1203838.925,377053.792,125926.721
2005,3_4,3,22133.850,394308.750,91607.083,0.000
2005,3_4,4,51575.600,196947.900,52656.300,0.000
2005,3_4,5,227907.900,49005.225,4863.908,0.000
2005,3_4,6,291542.000,308625.800,0.000,0.000
2005,3_4,7,392177.033,390394.667,0.000,0.000
2005,3_4,8,209518.967,648788.100,108081.600,18475.575
2005,3_4,9,312455.600,827547.667,300788.600,0.000
2005,3_4,10,14295.733,64330.800,7147.867,0.000
2005,3_4,11,126060.583,463969.325,0.000,0.000
2005,3_4,12,105938.083,508502.800,10620.783,0.000
2005,3_5,1,4363.550,60015.000,12911.533,184677.225
2005,3_5,2,0.000,39462.675,0.000,276238.725
2005,3_5,3,292670.733,258901.033,50654.550,92866.675
2005,3_5,4,677180.667,76030.096,23240.379,415086.062
2005,3_5,5,1457533.321,116764.887,60133.312,368329.825
2005,3_5,6,1093635.029,169857.254,25663.337,1057149.675
2005,3_5,7,891426.025,403529.950,102281.675,925658.100
2005,3_5,8,276565.000,599562.917,164132.917,164509.167
2005,3_5,9,168739.933,1649132.033,777118.558,75574.875
2005,3_5,10,107577.875,2508467.938,1609390.483,125507.521
2005,3_5,11,49820.867,3273096.100,2048675.650,25066.367
2005,3_5,12,332454.500,3055123.733,1737697.533,205131.500
2006,2_3,1,16362.600,367756.250,198672.917,8181.300
2006,2_3,2,7579.767,159759.467,62709.100,2111.292
2006,2_3,3,36329.500,302100.067,50612.400,25430.650
2006,2_3,4,82975.567,1372753.817,371110.850,31636.417
2006,2_3,5,17894.533,1362799.900,176863.867,70794.800
2006,2_3,6,56953.400,201588.483,52588.300,8426.517
2006,2_3,7,599558.333,809524.867,134548.000,245818.917
2006,2_3,8,544347.283,732335.375,234872.617,274763.500
2006,2_3,9,150716.425,157349.833,95088.717,46394.075
2006,2_3,10,20280.483,83114.667,57123.767,2880.308
2006,2_3,11,17495.200,253680.400,96223.600,16665.667
2006,2_3,12,73057.600,289008.500,74727.600,41515.333
2006,2_4,1,19993.000,585077.721,285395.900,0.000
2006,2_4,2,399906.367,282229.917,84380.133,12288.925
2006,2_4,3,25609.200,207827.800,149726.200,0.000
2006,2_4,4,6802.950,231983.567,103992.633,0.000
2006,2_4,5,11970.125,291251.283,113812.000,0.000
2006,2_4,6,0.000,246848.350,103517.050,0.000
2006,2_4,7,526040.075,304062.125,125637.050,23363.246
2006,2_4,8,2690316.250,504131.333,213286.333,371292.967
2006,2_4,9,212907.350,1221415.850,255359.800,0.000
2006,2_4,10,100375.650,2119041.500,665408.400,11152.850
2006,2_4,11,60771.433,1872323.250,876390.450,26044.900
2006,2_4,12,43274.167,222065.550,77027.200,0.000
2006,3_1,1,2491.000,34874.000,12455.000,0.000
2006,3_1,2,17377.500,24825.000,4965.000,0.000
2006,3_1,3,29901.158,28002.117,15462.983,1838.683
2006,3_1,4,6361.308,23112.033,9332.800,0.000
2006,3_1,5,5633.067,18556.975,5615.208,1123.042
2006,3_1,6,0.000,15866.067,6671.842,3384.983
2006,3_1,7,5658.042,14947.933,8643.000,0.000
2006,3_2,1,171533.583,1368626.000,717348.800,0.000
2006,3_2,2,283360.300,1622829.833,713760.300,0.000
2006,3_2,3,388246.100,744675.800,22994.267,0.000
2006,3_2,4,178438.267,354014.675,28971.525,18192.308
2006,3_2,5,206565.667,253331.520,40967.500,30984.850
2006,3_2,6,355295.850,615594.000,77248.417,47609.375
2006,3_2,7,517549.833,231500.967,49710.000,42843.258
2006,3_2,8,987967.883,294324.814,106590.050,57355.958
2006,3_2,9,1878957.317,184281.433,91898.883,467126.917
2006,3_2,10,1432515.450,879243.446,249139.600,378718.950
2006,3_2,11,1030084.917,989466.127,239177.583,88203.425
2006,3_2,12,300932.800,964096.650,97018.200,77906.800
2006,3_3,1,124248.925,527443.766,90731.550,126013.129
2006,3_3,2,59546.667,1182604.533,297733.333,113515.800
2006,3_3,3,11712.600,291519.633,38682.767,11885.400
2006,3_3,4,27944.021,179080.517,27937.317,4580.944
2006,3_3,5,27455.888,238233.617,67326.892,15253.271
2006,3_3,6,16739.667,108581.875,73048.903,1666.133
2006,3_3,7,10873.783,46513.250,19632.450,0.000
2006,3_3,8,58992.900,59789.000,27262.800,3186.000
2006,3_3,9,164759.717,265454.283,53498.400,40247.912
2006,3_3,10,173211.237,337989.567,84507.533,40929.533
2006,3_3,11,377399.100,725767.500,135476.600,106445.900
2006,3_3,12,580894.117,789635.167,315348.933,20175.533
2006,3_4,1,148555.867,486025.267,0.000,0.000
2006,3_4,2,67146.733,590216.000,63211.800,0.000
2006,3_4,3,63317.200,142463.700,10500.950,0.000
2006,3_4,4,150240.125,154193.812,11861.062,0.000
2006,3_4,5,309430.500,79348.000,9918.500,0.000
2006,3_4,6,301640.433,307939.667,0.000,0.000
2006,3_4,7,291876.125,328308.133,19545.683,0.000
2006,3_4,8,625620.067,597724.600,45197.417,0.000
2006,3_4,9,3238484.800,1434917.867,66844.000,0.000
2006,3_4,10,20837.458,267062.175,5595.383,0.000
2006,3_4,11,81887.200,109500.517,0.000,0.000
2006,3_4,12,10344.750,30725.325,0.000,5229.417
2006,3_5,1,0.000,2302779.400,1168122.333,7067.933
2006,3_5,2,49451.792,501184.583,291459.167,0.000
2006,3_5,3,9481.033,95843.500,28753.050,4740.517
2006,3_5,4,95812.000,57487.200,9581.200,25845.133
2006,3_5,5,28724.800,25832.933,19374.700,19374.700
2006,3_5,6,58023.300,19341.100,19341.100,12894.067
2006,3_5,7,9736.267,108951.500,38616.667,28770.933
