event_id,sampledate,region,dfozone,sample_site,latitude,longitude,source
scfs_1.0,2001-06-12,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_2.0,2001-06-13,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_3.0,2001-06-16,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_4.0,2001-06-23,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_5.0,2001-06-24,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_6.0,2001-06-25,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_7.0,2001-06-26,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_8.0,2001-06-28,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_9.0,2001-06-29,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_10.0,2001-06-30,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_11.0,2001-07-13,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_12.0,2001-07-15,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_13.0,2001-07-16,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_14.0,2001-07-29,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_15.0,2001-08-15,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_16.0,2001-08-16,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_17.0,2002-04-18,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_18.0,2002-04-18,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_19.0,2002-04-18,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_20.0,2002-04-19,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_21.0,2002-04-19,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_22.0,2002-04-19,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_23.0,2002-04-25,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_24.0,2002-04-26,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_25.0,2002-04-26,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_26.0,2002-05-01,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_27.0,2002-05-03,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_28.0,2002-05-03,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_29.0,2002-05-07,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_30.0,2002-05-07,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_31.0,2002-05-09,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_32.0,2002-05-26,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_33.0,2002-05-26,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_34.0,2002-06-01,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_35.0,2002-06-01,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_36.0,2002-06-02,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_37.0,2002-06-07,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_38.0,2002-06-08,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_39.0,2002-06-08,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_40.0,2002-06-09,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_41.0,2002-06-15,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_42.0,2002-06-15,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_43.0,2002-06-16,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_44.0,2002-06-16,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_45.0,2002-06-21,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_46.0,2002-06-22,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_47.0,2002-06-23,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_48.0,2003-03-02,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_49.0,2003-03-14,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_50.0,2003-03-16,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_51.0,2003-03-26,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_52.0,2003-03-26,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_53.0,2003-03-30,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_54.0,2003-04-06,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_55.0,2003-04-06,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_56.0,2003-04-06,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_57.0,2003-04-09,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_58.0,2003-04-09,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_59.0,2003-04-12,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_60.0,2003-04-16,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_61.0,2003-04-16,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_62.0,2003-04-17,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_63.0,2003-04-21,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_64.0,2003-04-21,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_65.0,2003-04-24,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_66.0,2003-04-28,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
scfs_67.0,2003-04-30,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_68.0,2003-04-30,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_69.0,2003-05-05,Broughton Archipelago,3_3,Burdwood,,,Salmon Coast Field Station / Raincoast Research
scfs_70.0,2003-05-07,Broughton Archipelago,3_3,Glacier,,,Salmon Coast Field Station / Raincoast Research
scfs_71.0,2003-05-07,Broughton Archipelago,3_3,Wicklow,,,Salmon Coast Field Station / Raincoast Research
