event_id,sampledate,region,dfozone,sample_site,latitude,longitude,source
1,2003-05-13,Broughton Archipelago,3_3,Adeane Point,50.71978,-125.6795,Fisheries and Oceans Canada
2,2003-05-21,Broughton Archipelago,3_3,Adeane Point,50.71978,-125.6795,Fisheries and Oceans Canada
3,2003-05-26,Broughton Archipelago,3_3,Adeane Point,50.7197,-125.6795,Fisheries and Oceans Canada
4,2003-06-02,Broughton Archipelago,3_3,Adeane Point,50.7197,-125.6795,Fisheries and Oceans Canada
5,2003-05-13,Broughton Archipelago,3_3,Adeane Point,50.7384,-125.67985,Fisheries and Oceans Canada
6,2003-05-21,Broughton Archipelago,3_3,Adeane Point,50.7384,-125.67985,Fisheries and Oceans Canada
7,2003-05-26,Broughton Archipelago,3_3,Adeane Point,50.7399,-125.6834,Fisheries and Oceans Canada
8,2003-03-12,Broughton Archipelago,3_3,Adeane Point,50.7197,-125.67945,Fisheries and Oceans Canada
9,2003-03-19,Broughton Archipelago,3_3,Adeane Point,50.7197,-125.67945,Fisheries and Oceans Canada
10,2003-03-25,Broughton Archipelago,3_3,Adeane Point,50.72017,-125.67923,Fisheries and Oceans Canada
11,2003-04-01,Broughton Archipelago,3_3,Adeane Point,50.71982,-125.67955,Fisheries and Oceans Canada
12,2003-04-08,Broughton Archipelago,3_3,Adeane Point,50.71978,-125.6795,Fisheries and Oceans Canada
13,2003-04-15,Broughton Archipelago,3_3,Adeane Point,50.71978,-125.6795,Fisheries and Oceans Canada
14,2003-03-12,Broughton Archipelago,3_3,Adeane Point,50.7384,-125.67985,Fisheries and Oceans Canada
15,2003-03-25,Broughton Archipelago,3_3,Adeane Point,50.7384,-125.67985,Fisheries and Oceans Canada
16,2003-04-01,Broughton Archipelago,3_3,Adeane Point,50.73985,-125.68335,Fisheries and Oceans Canada
17,2003-04-08,Broughton Archipelago,3_3,Adeane Point,50.73985,-125.68335,Fisheries and Oceans Canada
18,2003-04-15,Broughton Archipelago,3_3,Adeane Point,50.73985,-125.68335,Fisheries and Oceans Canada
19,2003-04-23,Broughton Archipelago,3_3,Adeane Point,50.71973,-125.67982,Fisheries and Oceans Canada
20,2003-04-28,Broughton Archipelago,3_3,Adeane Point,50.7197,-125.67945,Fisheries and Oceans Canada
21,2003-05-06,Broughton Archipelago,3_3,Adeane Point,50.71978,-125.6795,Fisheries and Oceans Canada
22,2003-06-09,Broughton Archipelago,3_3,Adeane Point,50.7197,-125.6795,Fisheries and Oceans Canada
23,2003-04-23,Broughton Archipelago,3_3,Adeane Point,50.74,-125.6805,Fisheries and Oceans Canada
24,2003-04-28,Broughton Archipelago,3_3,Adeane Point,50.7384,-125.67985,Fisheries and Oceans Canada
25,2003-05-06,Broughton Archipelago,3_3,Adeane Point,50.73985,-125.68335,Fisheries and Oceans Canada
26,2003-06-09,Broughton Archipelago,3_3,Adeane Point,50.7399,-125.6834,Fisheries and Oceans Canada
27,2004-05-30,Broughton Archipelago,3_3,Adeane Point,50.7197,-125.6795,Fisheries and Oceans Canada
28,2004-07-20,Broughton Archipelago,3_3,Adeane Point,50.7197,-125.6795,Fisheries and Oceans Canada
